Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
O07451	88117851.9726864	83775909.9498169	85495347.7910827	NA	3305377.03017179	NA	NA	2411733.13408615	NA	NA	NA	NA	29	34	33	0	4	0	0	4	0	0	0	0
O30338	2932314.03876524	3109371.27401506	3269719.53488775	3246691.06213257	2865868.69125374	2605573.89625456	2899065.1424341	2941934.77921691	2931495.64125778	4518193.94624644	4214645.99546335	4783233.79753854	3	3	3	3	3	3	3	3	3	3	3	3
O34162	2904520	NA	NA	NA	NA	NA	NA	NA	NA	2908280	NA	NA	1	0	0	0	0	0	0	0	0	1	0	0
O87816	155417914.341125	144728555.209512	156411768.071315	231782972.720331	252385483.930467	235183115.660126	189748900.716759	194259929.028055	199065902.728116	NA	NA	NA	12	9	12	13	15	14	12	14	12	0	0	0
P14611	6596206850.95919	5718505701.07198	5286449435.85191	7730207631.60003	6363528587.04609	7163563029.98732	8550902674.11178	7545575484.0943	8137097749.66178	3070406450.15769	2889988890.67516	2765631464.14001	68	66	69	64	67	65	68	69	69	60	59	60
P14697	265124389.234323	285579536.363528	325258105.505342	331749951.109085	357727129.881206	319802567.566259	469493045.744252	534292523.160794	537648645.534472	99812014.6480313	100502557.814392	108070232.012921	40	41	41	37	43	40	43	43	43	32	33	33
P19911	391581109.461092	423632831.440948	447428038.107345	NA	NA	5626999.99998669	4055041.09424075	4384915.84015778	5302679.99998744	NA	NA	NA	21	20	21	0	0	1	2	2	1	0	0	0
P19912	199746993.340119	231628423.41187	258042311.053415	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	0	0	0	0	0
P19923	1863542515.75458	1789161356.30014	2070853425.92011	18892387.1722389	15197587.5768513	15866440.1255041	9889387.96284041	12605305.2462914	13180580.051958	NA	NA	NA	28	27	29	5	5	4	2	5	3	0	0	0
P19924	57442612.6948068	75726014.4897192	82845073.8501278	NA	1605519.99999457	NA	606072.999997951	969613.999996723	686511.999997678	NA	NA	NA	4	5	5	0	1	0	1	1	1	0	0	0
P21725	3185498093.79549	2599148543.73911	2236829124.42369	20949143.5299754	10885355.9583665	15599317.7961926	15244660.8263617	14135108.0970329	14112194.6548193	NA	NA	NA	41	41	40	8	8	7	8	9	9	0	0	0
P21726	935366605.423709	680657941.824674	598829152.057808	80080823.4970476	NA	NA	20819563.5636476	21587216.2486313	12849930.6925758	NA	NA	NA	15	15	15	1	0	0	2	2	2	0	0	0
P22317	1284976644.77041	1226410749.67026	1193131656.74963	7434810.51720417	3773908.96718285	4290794.11319299	NA	NA	1416194.75605205	11069778.0550159	11218035.5151034	11299107.381911	32	33	34	4	3	3	0	0	3	7	4	5
P22318	950918308.320472	823932041.928406	723866921.08585	5883697.02126048	3082869.82525686	NA	NA	2876217.35820911	NA	6623094.67244387	7460715.35477955	7410070.2385845	38	39	38	4	3	0	0	2	0	7	6	4
P22319	664103409.094482	591116883.846557	543042523.290894	5298073.978475	3349978.20326499	4605373.54082776	1895475.77190115	2031237.97255639	2030276.72865359	7326029.90459604	7629223.30723287	5712791.31982427	13	14	13	1	1	1	1	1	1	2	2	1
P22320	1624864628.5575	1540575828.4891	1580687552.23517	25802059.6710316	18535284.6813611	19799095.705845	14865090.2095629	15289246.481233	15500497.0595948	18416181.9011914	18851040.7944775	18101289.4349124	58	58	56	17	14	13	12	15	17	16	14	15
P23516	9884059.99989965	9438750.81172802	10871234.3958077	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2	0	0	0	0	0	0	0	0	0
P23536	48373505.8458723	50490819.5269412	53047531.8250791	52435564.1565925	58195658.2040889	55097029.8189364	61025063.8090244	62778943.6684868	61729698.3243876	41129678.9229286	41884553.4011072	41791396.8126661	13	12	14	11	13	11	15	15	14	12	12	14
P23537	19433939.5735555	19308184.6164343	16812334.2409163	15172000.0002726	8850007.06343019	9390389.46843545	17207962.8443198	15380116.5083325	15953580.3023128	23022941.0875055	21617709.6348511	23895986.1449313	5	6	7	1	5	3	7	6	7	7	7	7
P27745	4722779.99999824	3925581.26771831	5306524.44107124	17113918.2488747	15762230.9352599	16668759.9750729	11370896.779553	11568356.3910672	10400563.3995863	NA	NA	2217349.99999918	1	2	2	4	6	4	5	5	5	0	0	1
P27746	13110600.0002322	10973589.1864293	10142382.8329943	33448297.7437672	26702807.3361973	33537102.7529535	24608648.8712673	20822802.717972	21163549.5228994	NA	2814610.00004983	3456000.0000612	1	2	3	2	3	4	2	2	3	0	1	1
P27747	10211204.4236536	7353928.77382358	7159147.16640147	18444476.0914586	14994296.3979999	18384680.3008197	15534807.977237	14758902.6272226	13764480.7432353	NA	1367901.87489288	1997453.10011776	2	4	4	3	4	4	4	4	4	0	2	2
P27750	10122704.8791721	8293629.33258693	6360144.97834103	4845180.68603146	6791391.57622256	8100439.22524917	9628267.45282402	9064006.58586679	9578654.68145088	5545187.89458606	4880784.424337	4107262.75507521	3	3	3	2	4	3	3	4	3	3	3	3
P28613	5833092.01871079	5873898.87481273	7774374.24020437	NA	2270912.33736318	NA	6303021.33928076	6828367.69165903	6603405.72027794	2440665.47514274	2354306.52738102	5900729.76646096	3	4	4	0	3	0	3	3	3	2	2	2
P28614	NA	NA	1111976.40277136	NA	3143433.69529723	NA	2153776.66083303	2346406.71705325	2187399.75815758	NA	NA	NA	0	0	1	0	1	0	1	2	1	0	0	0
P28615	49416083.0968134	51364248.638815	53710840.454928	54692401.4173619	66265543.166272	55688495.216187	55302776.0210608	55601592.4675626	52642465.0331146	39034621.7944188	37179871.6469933	36050196.2042406	11	12	13	9	12	8	12	14	13	10	9	10
P29267	162497992.680846	134895452.50973	127988772.77214	25034877.5431133	23808976.9252484	28568551.6316871	22088848.8463863	21353167.8558178	22630183.1351617	14403652.1309271	15073641.6819554	13810382.2351643	23	24	25	9	9	5	9	11	11	11	12	10
P31638	290656909.764082	307265531.532473	351678677.607766	599194286.213943	703929140.571333	598017026.12084	493627532.419722	540027803.533357	512831041.661894	479049405.669971	490021952.366048	491184126.099168	29	31	30	31	36	32	34	33	31	30	29	32
P31891	572104712.454673	474167431.804647	415151041.764467	12676570.316304	11734166.8660387	13684757.2577191	9154759.26062915	10343545.6087867	10286986.9649325	17539027.5842053	15717247.0389903	17211039.3691818	33	33	35	13	10	7	8	11	11	16	16	13
P31892	33568881.6804281	32518505.7223225	32479335.3013859	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	8	8	0	0	0	0	0	0	0	0	0
P31898	31243872.1752907	29627738.7982209	25360028.7589215	NA	819457.999997768	NA	NA	NA	NA	1404929.99999618	1448399.99999606	1452599.99999604	2	2	2	0	1	0	0	0	0	1	1	1
P31899	3298456.5949209	3422897.73512945	3737514.11024354	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	0	0	0	0	0
P31900	70957637.3641383	70351874.8448159	69535130.0983889	6783799.13454531	NA	NA	5944337.20933825	8393451.42547727	6433895.68713279	10605180.7438598	12152058.8450372	11077250.2591615	3	3	3	1	0	0	2	1	2	2	2	2
P31901	387880851.916355	334286300.020026	280160795.628502	25106273.7811592	24373592.71218	28947227.4001456	12137433.1711694	10561459.1024074	11907802.4585749	11325200.0002175	8354320.98786699	8662851.10225225	4	4	4	2	2	2	2	2	2	1	2	2
P31902	482446471.270614	401692908.522877	378392770.40359	70066786.1512949	65172858.0718035	79644856.5539644	56212901.4811863	52170291.5762029	53495931.4451615	125814735.187903	111639086.228904	106992519.874926	22	23	22	9	9	9	9	9	9	11	12	11
P31903	164956020.697182	175714724.538552	173257431.571616	25161205.7199446	24276908.0522032	22192939.7155805	21956747.2331254	23876542.5952567	23941809.2740564	21865057.1449013	23333972.0105136	22165489.6030181	20	19	19	6	9	5	6	5	6	7	8	7
P31905	123085339.295783	131750993.450165	145124594.601954	27766466.4189169	27818813.8360382	26919830.9629177	23130915.674775	27143015.8995446	24346398.265046	16242689.0785072	19266399.0871124	19965461.8253798	18	18	18	10	9	9	8	9	14	10	8	7
P31909	40920119.1361785	41034263.3295457	38330870.2617103	NA	NA	NA	NA	NA	NA	NA	1307429.78154769	NA	7	7	6	0	0	0	0	0	0	0	2	0
P31910	51495358.9123704	57019690.1565211	61524972.6683465	NA	NA	NA	NA	NA	NA	5662899.44775844	5034331.1043836	4820786.82432893	6	6	6	0	0	0	0	0	0	2	2	2
P31911	92046920.2506116	89671965.9441553	77545567.4428692	NA	NA	NA	NA	NA	NA	NA	8645899.9998703	NA	2	3	3	0	0	0	0	0	0	0	1	0
P31912	2559229.99997564	3587996.89764838	2764740.54520861	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	0	0	0	0	0
P31913	35645300	24924500	23049100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	0	0	0	0	0	0	0
P31914	31484887.6871842	34620049.456764	34314300.1648032	5427393.38684833	6489954.76439609	5688398.77394462	4098084.6269969	5392811.25452734	4930041.88848382	2370039.15614716	2076815.56331593	2420262.78679251	6	6	6	3	5	4	3	4	2	3	3	2
P39185	NA	NA	815969.923325346	NA	3480236.83149017	1779690.83579496	2118516.43101977	3096431.92966676	2762208.97898475	3177565.29608677	2946795.65557461	4406228.02140009	0	0	2	0	4	1	3	4	2	5	6	5
P39186	NA	NA	NA	NA	825823.999999999	NA	1437110	NA	1116620	NA	NA	NA	0	0	0	0	1	0	1	0	1	0	0	0
P39662	100630352.346435	100716794.944551	93289130.0631565	92619481.5505519	95448134.8194113	109247114.652955	161791618.026646	153587547.726201	153392613.381976	114706708.055547	113010481.388806	121516585.456305	14	16	15	15	15	15	16	16	16	17	17	17
P40117	2236633521.30253	1821138673.28637	1623575561.92064	49752885.8791195	15620300.0001075	34782054.7190643	13613300.0000936	12310800.0000847	11736200.0000807	NA	NA	NA	10	12	13	2	1	2	1	1	1	0	0	0
P40118	441468798.684614	405516745.592389	481530658.099024	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	3	0	0	0	0	0	0	0	0	0
P40119;Q04541	660118964.408593	689473577.436201	731363425.415092	4700817.25748374	4238485.2976336	3329248.26419563	2745832.84946026	3235644.07425831	2781127.99549219	NA	NA	NA	13	14	14	2	2	2	2	2	2	0	0	0
P40289	38794796.7089279	38522192.9075869	38070924.2764444	41739533.9604911	39490944.8760429	42067968.6468886	35448662.7915452	35973376.4037929	35914805.2343319	47195636.5147866	45728064.7848106	47152437.7103564	12	12	13	11	13	12	12	12	13	13	13	13
P40852	852314535.637117	626560480.537068	518811162.716417	5529359.99997711	NA	NA	10036099.9999584	2359179.99999022	4382099.99998185	NA	NA	NA	2	3	3	1	0	0	1	1	1	0	0	0
P40853	44113208.145477	49326454.1708166	50685266.3201898	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	0	0	0	0	0	0	0	0	0
P42721	2013242315.00204	1955730657.64957	2080899933.70552	9614968.48452546	NA	NA	NA	NA	NA	NA	NA	NA	50	51	52	3	0	0	0	0	0	0	0	0
P42722	2923980	4105330	3916200	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	0	0	0	0	0	0	0	0	0
P45805	30577597.4791846	31060872.8479454	32020582.6385261	4348782.03272255	3392808.42424993	3692903.10401663	3688441.01739163	2789244.66128999	3925790.15291512	5756626.22467414	7257638.83254428	7147896.90867474	8	8	8	2	3	3	2	3	3	4	5	4
P46368	NA	3235121.80613805	3319840.31685631	NA	NA	NA	5126322.87115765	5658725.63730434	5807266.86186434	6381284.56213749	6344312.79806361	6925165.17520909	0	2	2	0	0	0	3	3	3	3	2	3
P50319	718769603.206917	610606899.430256	607144395.325021	12793103.2826395	7696523.60742274	7541913.12434464	9685018.64553688	9289292.06034958	9833475.51281339	NA	NA	NA	17	20	21	4	3	3	4	4	2	0	0	0
P50320	144974222.750068	139762012.960444	142753548.972023	NA	3407790.14226799	3887027.16205902	3062752.82606219	3913536.60807638	3275348.99766345	NA	NA	NA	12	13	13	0	3	1	4	3	3	0	0	0
P50321	3009340999.61511	2709229262.78011	2612196234.89763	22327114.0046047	26791723.8751979	22434868.9548073	41567220.5920418	34611546.6495186	38134528.713664	NA	2068700.00003995	2701990.00005218	28	28	28	3	4	4	5	6	6	0	1	1
P50322	14139488.5016744	15691160.1202051	30251474.7184146	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	0	0	0	0	0
P52992	819760050.858886	799729581.489245	797618245.565083	1016779987.75078	980231306.755882	1008333779.1776	864058036.566024	843334721.896197	832311331.148306	1803590277.8736	1739952635.13885	1732454710.39508	38	38	41	32	41	36	42	45	41	45	48	47
P52993	708914385.53391	709875805.091978	758611879.731804	1004462257.97585	990953312.2235	956691427.719993	783920843.465668	782813589.042536	745618281.68818	1449608794.15333	1508962527.46335	1494392884.85697	31	31	33	32	32	31	33	32	32	36	36	35
P55818	NA	NA	NA	49887899100.3556	43557788852.8714	51639418220.5375	31148398270.2828	31019852807.9835	32052475815.9444	531763993.434412	341454518.768426	335355934.379793	0	0	0	49	52	47	51	50	52	13	6	5
P59927	NA	21925.5	NA	NA	NA	NA	29563.6	25538.6	58555.8	91921.4999999999	145459	109672	0	1	0	0	0	0	1	1	1	1	1	1
Q04539	164030112.240292	161854393.012424	162520847.827325	3451750.31058506	6382576.04774207	2190993.41057923	NA	3845413.56809683	NA	NA	NA	NA	8	9	9	2	2	2	0	2	0	0	0	0
Q04540	144007224.742321	157205414.207815	198239106.988991	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8	8	0	0	0	0	0	0	0	0	0
Q07252	NA	NA	NA	NA	NA	NA	NA	1028900	NA	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
Q0JY13	NA	NA	NA	NA	NA	NA	NA	NA	NA	10930375.5263181	11678200.0560752	11143502.2765963	0	0	0	0	0	0	0	0	0	5	5	5
Q0JY21	52655252.5721523	53256069.9613591	50679539.4769775	51123487.2837999	54909750.2905279	54010600.4375893	39724720.5933483	41244083.4963413	42628367.4947414	84548975.6414767	82409751.5972753	78461315.1291057	13	15	15	11	15	12	14	13	13	17	18	19
Q0JY22	6889295.8142151	4801455.50117232	4709221.90717139	NA	NA	NA	NA	3513432.61199637	NA	32063883.6248113	31306426.456625	32731216.7912398	4	6	2	0	0	0	0	2	0	14	14	14
Q0JY24	77769269.7362512	62163110.4417661	79068107.2834363	96494020.934052	96993245.4484071	115501043.555605	116617975.68676	115427880.071629	139803054.856059	70307014.748706	51824729.8926025	50523574.5086513	5	5	6	5	5	4	6	6	5	2	3	3
Q0JY25	68050011.9940176	71389493.4288341	73149852.622601	107729217.276198	115391092.435383	104388967.868218	85746555.0816426	88262644.9663057	83847970.1743993	34725701.2306088	35076587.667776	40153437.2498304	21	21	23	21	23	19	24	21	21	16	16	17
Q0JY26	58474563.4758159	58531183.7405569	60235070.1250142	55450507.5081261	61435613.1713763	56412338.8426614	51603931.8442231	52317528.2969048	48875677.9336474	29896711.4663668	28684320.6232547	26537810.6407084	10	11	11	9	11	9	11	11	11	11	10	11
Q0JY27	74265596.5021336	75400879.1783951	73978295.1966164	55149022.6866339	59174143.939988	64156544.1242516	73856814.5125364	71598041.8750961	69599850.8790393	48326242.1868886	45164696.7461984	44836271.6150301	5	7	8	4	6	5	7	8	7	6	7	6
Q0JY28	73811003.1709699	72664229.2838482	72077066.5739127	70590178.6987583	74551343.342103	72312681.0574982	62264738.3261601	61843567.4876856	63865168.8922958	38655160.9261361	37998502.2074172	35541873.4851823	9	10	10	9	9	8	9	9	8	8	8	7
Q0JY29	18409308.4130842	15760888.7194814	16069685.1003678	12473197.1701813	11265059.5807115	14953778.2185352	16719777.0878851	16144193.5841796	16800901.6815842	9209000.0001688	5475848.53230128	8821584.13261035	3	2	3	2	2	2	2	3	3	1	2	2
Q0JY30	6426606.26973033	7875403.67658345	7635215.2964455	7183305.65749552	7642824.0404802	6561281.127847	6133378.89096106	6751418.49175579	6252334.71309997	2576134.32615813	3013786.41589932	2779534.24290339	5	5	5	4	5	5	5	6	4	3	3	3
Q0JY31	15675077.6231903	19646755.4895015	22156548.9797139	12029886.6850418	14110582.4846934	8997080.50638402	11203387.923044	13394232.6501581	11820958.5146553	32736597.1155457	33978458.9657463	33496383.2505495	7	7	7	3	6	4	5	7	7	7	7	7
Q0JY32	5026420	NA	NA	NA	2804330	NA	5107910	NA	4505590	NA	NA	NA	1	0	0	0	1	0	1	0	1	0	0	0
Q0JY33	6588219.99999999	5238100	4549250	5813930	NA	6024130	5692800	4876540	5522590	7313840	7149810	7516459.99999999	1	1	1	1	0	1	1	1	1	1	1	1
Q0JY35	4167059.93572247	NA	NA	12376485.4231756	15963294.9091429	13986879.2059505	5228644.40834797	5384659.35518916	5552374.87512151	22747648.9152669	22765164.5594959	19289288.4784156	1	0	0	4	7	6	3	5	4	9	9	9
Q0JY37	69403666.5328867	71774008.4892937	67520756.2991828	62240344.9773593	72884916.8827563	75908187.6300257	82516725.4362483	77165435.9951218	75558896.8823911	742571338.309034	712203695.935444	758930592.038514	11	11	11	9	10	6	10	10	9	25	25	25
Q0JY39	36665539.2698733	41049438.6478538	41971413.4304444	51832071.9693963	71352722.1126052	58181196.8201571	37076649.3044209	37886500.9266536	36767306.7908085	94268811.3228588	97535236.5938349	88680606.253629	12	11	13	12	14	14	13	14	14	13	13	13
Q0JY40	8343954.68933331	9691239.61818894	9630901.86605934	13769107.0132891	14504897.4537476	14541936.8206051	12273339.3044206	15369584.1888484	15194532.1046426	6140041.67065321	6763793.87768796	6711537.48753712	7	5	7	4	6	6	7	6	5	5	7	7
Q0JY41	NA	NA	1005460	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
Q0JY45	7347270	7386040	4757540	7570460	5130860	NA	9552860.00000001	7445290	8267700.00000001	10103200	9013049.99999999	10550500	1	1	1	1	1	0	1	1	1	1	1	1
Q0JY47	34505136.4468848	36113734.0234894	35233070.3876258	33899514.8096131	35934126.4050357	32785847.7906043	30238483.5967958	31933202.0871891	31906368.9612406	28599572.303073	28436650.3813815	30048850.8973008	8	7	9	7	8	9	9	9	9	8	8	9
Q0JY52	2005587.68523529	2607862.73459704	2476889.4163165	1608169.54094789	2042531.67041323	1684128.21400831	NA	1868227.39755148	2521337.10866903	2417759.48369785	1745626.01423727	2134071.70879204	2	2	2	2	1	2	0	1	2	2	2	2
Q0JY54	9431671.86420353	9061338.59550074	9424138.0975075	6114605.35003271	6238078.14477427	7643982.62921723	8233205.44528141	8178658.40116627	7959064.77074573	5371717.64291798	4962029.06598823	5132695.7121798	4	5	5	4	4	4	3	4	4	4	4	4
Q0JY55	NA	NA	NA	NA	NA	NA	18920869.3278794	23378829.4464132	NA	NA	NA	NA	0	0	0	0	0	0	2	2	0	0	0	0
Q0JY56	NA	785002	1083610	879888.999999999	893502	759776.000000001	410490	457939	NA	338433	547028	692074	0	1	1	1	1	1	1	1	0	1	1	1
Q0JY57	9545680.00016902	9516440.00016852	8561700.00015159	11256300.0001993	10785600.0001909	10544592.9733058	11988243.2260346	9286039.57191344	9583738.84630832	6751540.00011955	7310040.00012941	6911100.00012234	1	2	1	1	1	3	3	3	2	1	1	1
Q0JY58	36975669.3913577	32398129.2486798	31388727.1395226	32051780.1797028	30402031.0630365	36901818.2048641	41438572.9546871	38621227.8260159	39673776.8335722	23671681.6184091	24033259.473082	22188436.9618863	4	4	3	3	4	3	4	4	4	3	3	4
Q0JY61	422655864.386302	404020628.899374	409879062.360324	360928843.769313	343736677.540777	351390684.652303	336689640.771895	332304812.095755	334081182.336599	513981326.324358	511792279.243426	508878940.882463	34	37	37	29	32	34	35	36	36	38	38	38
Q0JY65	4493738.2170086	5014421.68372356	4678004.79649303	NA	2944983.2417715	3161746.12838558	3445845.22557155	3436858.39027704	3257512.82981497	3862180.7809028	4640746.42755543	4091074.16484129	3	3	3	0	2	3	3	3	3	3	3	3
Q0JY73	3617150	2969230	2422670	2043570	1520450	2393410	2887310	2339400	2456710	3351760	3116180	3159150	1	1	1	1	1	1	1	1	1	1	1	1
Q0JY77	26704910.4807249	25261052.7278589	24669160.8289815	22277591.1682547	23423805.0332169	24356796.4334543	25102504.7033074	25765731.3857208	26365971.1801302	31032750.5450713	30974603.9446359	31855549.2271606	10	11	10	9	8	7	9	10	9	10	10	10
Q0JY78	17451943.3852207	20627151.2111239	25705597.8576997	18820266.0160932	27321311.5580178	16598846.4881668	23614895.9620064	31905546.058999	27161528.4194505	17087573.113489	17201632.3356607	17870996.3475571	3	3	3	2	3	2	3	3	3	3	3	3
Q0JY80	7785219.99999999	6284440	5327360	NA	NA	NA	NA	NA	NA	5427140	5090450	4987450	1	1	1	0	0	0	0	0	0	1	1	1
Q0JY82	8734724.57519408	7000342.92644742	6932063.38793193	7793283.18303643	5310642.06084964	8112170.15756792	7351829.68231148	6744837.46903616	7755475.9723463	10139090.4666817	9614284.70024076	9651959.12609148	2	3	4	3	5	3	4	3	2	5	4	3
Q0JY83	30805648.3643673	25782926.7006504	23771666.0553179	30781393.8564045	24834583.2243381	31619747.8624816	21246974.0866036	20251700.2070122	20199511.9487655	31628543.2496979	31082856.4458441	29946251.925964	10	10	12	7	11	10	10	10	10	12	11	11
Q0JY84	130770363.319681	138692715.562276	144631229.347141	94447295.8312781	105048395.044647	105322647.441307	111098325.077165	118393415.516297	116473191.914305	126185901.573494	129891343.595449	135971269.448958	17	16	17	12	14	13	15	16	16	15	16	16
Q0JY88	NA	NA	NA	NA	NA	NA	NA	NA	NA	47223210.9499867	56306097.2126815	61845116.1852643	0	0	0	0	0	0	0	0	0	2	2	2
Q0JY89	NA	5270146.15390887	4798475.73084167	NA	NA	NA	7284550.42534206	NA	NA	49912402.8234776	50920275.3715142	53439493.2493507	0	2	2	0	0	0	2	0	0	3	3	3
Q0JY90	12278074.5631423	13286505.2119198	10524490.19382	NA	NA	NA	NA	NA	NA	281127804.473008	270797106.662814	268363309.091179	5	7	7	0	0	0	0	0	0	23	23	23
Q0JY91	NA	551041.000006058	NA	NA	NA	NA	1156130.00001271	NA	NA	12019300.0001321	10502800.0001154	9661770.00010622	0	1	0	0	0	0	1	0	0	2	1	1
Q0JY92	NA	NA	NA	NA	NA	NA	NA	NA	NA	7175580	6623200	6395160	0	0	0	0	0	0	0	0	0	1	1	1
Q0JY93	38525521.344997	36948682.5758639	35542188.2242196	36128326.8263573	33021516.9709873	34757400.6520686	74406371.8568173	69131489.7021294	68125309.4166132	20650494.6056013	23248662.7539762	22267889.016984	14	14	13	10	14	13	16	14	15	9	10	9
Q0JY94	14806931.2950652	15547965.0033436	15932458.4396297	16178299.6422988	15930089.68742	16779962.5882635	10230982.5342843	8974453.40240046	9119839.8390372	5284662.6187444	6140173.1533587	6714639.14731162	12	14	13	12	14	13	13	12	11	11	9	11
Q0JY95	2382449.91000966	2444738.07705274	2224382.64425687	NA	830367.23971901	NA	1718391.77605107	1257627.95867677	1681999.15718398	3442526.32379345	3205603.72241637	3808330.39680854	2	3	2	0	1	0	3	1	2	3	3	2
Q0JY96	5850694.85645816	6589004.43787944	7571169.17836288	10713021.8077961	13272951.8311582	11340467.2560039	8512483.40609409	9842365.5795235	9070317.80416275	3214152.98755519	3464221.5063068	3819910.54093785	4	4	5	5	5	4	4	5	5	3	4	4
Q0JY97	2902265.66911795	2830802.21953132	3300140.84756273	3110310.00001422	3571010.00001634	NA	3601496.07606416	2920561.51665477	3391932.70682429	3861381.07102887	NA	NA	2	2	2	1	1	0	2	2	2	2	0	0
Q0JY99	NA	NA	NA	NA	NA	NA	NA	NA	NA	242485	443647	664012	0	0	0	0	0	0	0	0	0	1	1	1
Q0JYA1	7062675.79619353	6783369.7287737	6516071.28305108	4366729.10858992	5738995.84765213	7565867.37054351	8316076.89813094	8642751.49200911	8555747.05037947	4748042.21890772	4932659.96939515	4786536.6909477	3	3	3	2	2	3	3	2	3	3	3	2
Q0JYA8	25566526.2571964	22433970.819398	19002467.5444733	19922825.627991	16513312.396183	21842310.6238037	19547884.0136471	17374894.1348739	18924759.3934171	37756790.5211558	35570209.8815419	33535930.8799676	3	3	3	3	3	2	3	3	3	3	3	3
Q0JYB2	1261457.25173991	1502596.48277481	NA	11991342.5575598	10535320.4055694	12319863.75398	3375561.27685139	2840389.48484257	2715520.0556093	NA	NA	NA	3	2	0	7	7	7	3	5	4	0	0	0
Q0JYB3	5990544.09222184	5898097.29255677	6018295.33442454	7018728.82800384	6230981.9312322	6913794.05114169	5762842.39509364	6188128.00650754	5812396.78778642	8222258.99298439	8682864.57575779	8664301.19721385	5	5	4	5	4	4	5	5	5	5	5	5
Q0JYB4	10651000	6525480.00000001	NA	25504700	18767100	24315300	9615250	NA	9625719.99999999	NA	NA	NA	1	1	0	1	1	1	1	0	1	0	0	0
Q0JYB5	2894480.83218175	3050532.97103713	3253761.42453279	9471256.54193499	8266175.15602252	10441404.0613917	9956730.82233966	10338446.7263055	9236144.44165742	2219350.27360397	2860582.84915268	2334313.1754671	3	4	4	7	8	8	9	9	9	3	3	3
Q0JYB6	NA	NA	NA	NA	NA	NA	3069334.80689798	2092977.96452795	1908401.83169798	813543.073305832	903681.389363089	1685881.36608668	0	0	0	0	0	0	4	3	3	3	2	4
Q0JYB9	21387116.8173982	22701301.1208017	23818412.1079248	8846200.83619683	9832697.64617331	8957484.62574676	27204643.4979988	28072012.321017	28843954.7973631	14680782.9817511	15586705.9901697	15978449.8652403	8	10	9	5	6	5	10	10	10	8	9	8
Q0JYC0	2853290	2081380	1574950	1786030	1173570	1797840	NA	NA	1074060	2343100	NA	2125810	1	1	1	1	1	1	0	0	1	1	0	1
Q0JYC2	43605219.7809331	36273854.8527844	29555124.5928982	18035877.5531075	13760284.3051625	16509974.531007	16540534.4939841	14233514.9808552	14688307.3141926	27353345.813696	25672232.2358448	25049680.3564379	8	8	8	3	3	6	6	7	7	8	8	8
Q0JYC3	NA	659278	564520	479011	770459	NA	866298	833910	977481.000000001	NA	NA	NA	0	1	1	1	1	0	1	1	1	0	0	0
Q0JYC4	43368099.9999999	39332200.0000001	35898700	24990100	15937100	27046200	34515000	33210100.0000001	34108800	45811299.9999999	44159100.0000001	45960200	1	1	1	1	1	1	1	1	1	1	1	1
