Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
Q0K984	4050661.44466525	4809939.66082868	5291910.9774521	2549038.12290043	4102365.89819337	2361240.32449243	2533303.03975064	3259711.38806075	3114607.02943804	4869877.20181037	5036247.48865018	5115345.06670201	4	4	4	3	4	3	3	5	2	4	4	4
Q0K985	NA	933759	1775940	NA	NA	NA	NA	437570	NA	NA	NA	NA	0	1	1	0	0	0	0	1	0	0	0	0
Q0K988	34480835.8714262	36463285.3763451	35602250.6479935	34327023.7925754	35387310.8853221	33939826.0725294	34726189.0742406	37280196.9655574	37938398.913752	21833033.0690465	20901292.3675414	20114204.1225187	12	12	12	9	10	11	12	11	12	10	11	10
Q0K989	151885241.947018	156671295.250352	153146383.106014	185398891.995621	178208277.936937	180255324.73559	180551356.099008	170300037.711338	173263845.495712	169140819.357831	175385391.513557	162792788.447341	12	14	13	12	12	11	13	13	12	13	13	13
Q0K990	1459605072.14824	1312738927.20569	1239081458.77792	1394563760.36336	1288389763.54655	1325540437.69201	1358318140.51889	1199236016.23817	1253624460.11837	1532485235.82158	1518026630.01329	1433159107.47638	45	44	46	42	41	43	45	45	45	46	45	45
Q0K991	49491421.5086115	45204888.8968746	42241668.8407319	45958304.677467	38939826.3794236	46944593.0526232	47468392.1591179	43503729.2255722	43719908.4472058	7605339.11382733	9258581.15138207	10229479.8932465	11	12	12	9	10	8	11	10	10	7	8	7
Q0K992	3227969.63861097	4791245.52988035	5053143.33021254	NA	11877057.1777213	4457879.45264487	4972233.88829484	6677502.44158242	5364784.48465992	2602393.97003871	2612114.6972714	3553493.30361474	1	3	4	0	3	2	3	3	3	3	4	3
Q0K993	25571958.6856223	23150823.138245	22192029.169309	22518910.1019238	21640659.5159792	21677042.1323488	18718436.0878743	21619331.1095868	21704151.226511	7438121.71348314	6540384.98290923	7271823.72746598	6	7	6	5	5	5	7	7	7	4	4	4
Q0K994	27996512.2588912	NA	19189099.9999907	20787344.3012349	17312799.9999916	22186299.9999892	NA	22203399.9999892	23874799.9999884	25956755.1842441	26619073.503316	23488649.1393581	2	0	1	2	1	1	0	1	1	2	2	2
Q0K995	149845738.81275	152554452.828146	158775725.633251	111243661.322734	112476328.013797	113895291.751335	256922686.956726	271941289.564718	273758043.18088	100852661.155296	103813213.274256	103010630.426815	23	23	24	19	21	20	25	26	26	21	19	20
